token_ids,Q05_Valuation,Q95_Valuation
1,0.025529038,0.615747851
2,0.025529038,0.615747851
3,0.025529038,0.615747851
4,0.025529038,0.615747851
5,1.187506698,3.513745934
6,1.209983126,3.620599735
7,4.463853,22.62436018
8,1.268362995,3.452960513
9,3.953232895,16.38866452
10,1.470756771,4.642304594
11,1.566588954,3.937517012
12,1.215740966,3.011302953
13,2.632684915,7.840002521
14,1.285460264,3.537020018
15,1.216623034,2.965853533
16,8.1384507,37.47902336
17,3.537327456,15.04158576
18,1.409181105,3.911444409
19,1.199511615,4.059347111
20,4.409282047,22.58110414
21,2.218746734,8.140344653
22,0.993142354,3.125827274
23,1.417779248,3.969629612
24,3.573449857,17.95320246
25,1.404031946,4.305258289
26,1.313660504,3.680681364
27,2.486504292,9.473247827
28,0.892874274,2.189363751
29,4.330580855,22.85989163
30,1.110669361,3.278927462
31,0.860628574,2.898663301
32,2.190647803,12.26152592
33,1.072089665,3.360673575
34,1.061531504,3.36227635
35,51.30632902,159.933316
36,1.129547084,3.556233296
37,1.169808969,3.658637072
38,1.0031206,3.391659611
39,1.64908838,4.64685048
40,1.420028962,4.366823214
41,0.891596731,2.201953934
42,2.83957448,11.51288474
43,2.431389685,10.9340658
44,3.905863639,17.48607479
45,1.132762166,3.508971852
46,1.106828798,3.234745142
47,0.972389359,3.612522965
48,3.084002226,12.29728528
49,2.740489658,11.18838905
50,1.477594752,4.744264768
51,0.780413666,2.19109394
52,2.121808106,8.44534116
53,1.384144815,4.04556934
54,1.14288611,3.672341993
55,2.651003698,11.10326801
56,1.148389477,3.130590151
57,1.254890816,4.014036058
58,2.34204276,11.29259996
59,2.003736751,8.108814182
60,1.522845314,4.022507969
61,1.063112084,2.966161008
62,2.596292373,10.2484607
63,3.970329104,15.34825009
64,0.871172072,2.260696028
65,3.824516533,16.75918563
66,2.322978657,10.47480847
67,0.967051652,2.9676307
68,1.19299437,3.56267874
69,1.269729535,3.902778636
70,1.130655272,3.42922211
71,2.778090075,13.09872689
72,2.491229878,11.46360599
73,2.867121383,13.61416478
74,1.299743329,3.979265654
75,2.402302372,11.93407515
76,1.08078189,3.193395366
77,1.342266376,5.71656357
78,2.667435158,11.0382273
79,1.134602063,3.402464909
80,4.533943858,17.96401318
81,0.904693735,1.909851852
82,2.045087566,9.318506053
83,1.244775304,3.177410722
84,1.118332218,3.143140108
85,1.180476761,3.064534834
86,1.17895349,2.966630029
87,2.896154014,13.50773029
88,0.692095444,1.399940803
89,2.792494639,13.48503987
90,0.914421695,2.778092657
91,1.820203664,7.644003306
92,1.416896177,4.061060435
93,2.300159436,10.31967691
94,0.87803531,2.435914763
95,10.18984755,36.35675258
96,1.108508797,3.002630469
97,1.034900293,2.51249582
98,1.099226265,3.214584958
99,0.790248464,1.993775952
100,1.35051436,3.468810933
101,0.900773595,2.549981255
102,1.09009668,3.042695446
103,3.461355141,12.19613128
104,1.282659333,3.624078338
105,1.012010608,2.86049899
106,1.066067711,2.69884288
107,2.605127527,13.81676571
108,1.112523807,3.031318897
109,1.075561629,2.445638061
110,0.937886047,2.83158282
111,0.969618965,2.54027548
112,1.79552181,8.733839012
113,0.696313021,1.436927523
114,1.114423177,3.359560513
115,1.101047118,3.420035791
116,0.720334792,1.694558682
117,4.122808367,16.85993281
118,1.040972637,4.135028168
119,1.066842062,2.950987629
120,0.962089648,2.057247855
121,2.398096999,10.06653319
122,1.2682834,4.051336291
123,1.470444092,4.407345578
124,0.957416738,2.473382941
125,0.853334668,2.505838208
126,1.031242668,2.609019403
127,0.771981789,2.540188594
128,1.946514528,8.093194366
129,2.410621574,9.850717258
130,0.91805047,2.690004912
131,3.472737953,15.5458111
132,0.929769261,2.934705038
133,1.267962996,4.084056437
134,2.421088084,14.18680427
135,3.085385225,14.71561929
136,0.898458656,2.711797035
137,2.824075883,16.28449319
138,0.871586436,2.012535814
139,0.924631957,2.388348944
140,0.735198253,2.649027419
141,0.907601155,1.914114451
142,0.899350327,2.556240226
143,0.762023537,2.255405294
144,0.81982122,2.301751543
145,0.883351912,2.501552125
146,2.364187408,10.03367512
147,0.372413352,2.118681904
148,0.810483817,2.171148407
149,1.34697607,3.977531802
150,2.390033114,12.58900727
151,2.473341564,9.619624767
152,0.80559352,2.043566384
153,2.29327484,10.41126723
154,2.554488319,11.06307513
155,0.861467152,2.589457718
156,0.809978466,1.739807106
157,1.191296231,2.82687155
158,1.386801109,6.192314643
159,0.977014437,2.519167165
160,2.548354199,11.76351448
161,2.014303477,8.47232838
162,0.927788345,2.587469962
163,0.813568239,2.941535318
164,2.417969667,11.52227292
165,0.7873671,2.494662664
166,0.858032479,2.384147562
167,0.631950048,1.942155283
168,2.054877417,8.760069775
169,0.697065737,1.460391339
170,1.118170289,2.776584797
171,1.680771288,7.289212735
172,1.245238752,3.038152616
173,2.126692843,8.033811093
174,8.895483894,49.15387685
175,1.470116588,3.384439227
176,1.075755102,3.473629723
